Vendor ID,Vendor Name,Country,Territorial Scope,Environment,Type of Service,International Transfer,Cookie Max Age (days),Data Retention (days)
1537,"Branch Metrics, Inc.",United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE",Native App (Mobile),"DSP, Ad Serving",SCCs,180,180
1382,014 ON,Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Verification Tool, Ad Serving, Header Bidding Service, DMP / Data Provider, Recommendation Service, Website Analytics, Buyer, Campaign Analytics, Audience Analytics",Adequacy Decision,,730
1111,152 Media LLC,Spain,"AT, BE, HR, CY, DK, FI, FR, DE, GR, HU, IE, IT, NL, NO, PL, PT, ES, SE, CH",Web,Header Bidding Service,No,90,90
217,"2KDirect, Inc. (dba iPromote)",United States,"ES, CH, GB","Web, Native App (Mobile)","DSP, Ad Serving, Campaign Analytics, Audience Analytics",No,1826,31
58,33Across,United States,OTHER,Web,"SSP, Ad Serving, DMP / Data Provider, Identity Resolution Service, Audience Analytics",No,365,30
1325,366 SAS,France,"BE, FR, CH","Web, Native App (Mobile)","DMP / Data Provider, Identity Resolution Service",No,,393
876,3Q GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)",Other,No,30,365
740,"6Sense Insights, Inc.",United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile)","DSP, Website Analytics, Campaign Analytics, Audience Analytics","Adequacy Decision, SCCs, Supplementary measures",731,400
1497,8pod Inc.,Belgium,"IE, GB",Web,"Ad Serving, Header Bidding Service, Recommendation Service, Website Analytics, Buyer, Campaign Analytics, Audience Analytics",SCCs,395,395
1362,9 Dots Media Ltd,Israel,"AT, BE, BG, HR, DK, FI, FR, DE, GR, IE, IT, NL, NO, PL, PT, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV), Other","SSP, DSP, Verification Tool, Ad Serving, Header Bidding Service",No,,360
